category,text
positive nudge,نشكرك يا name على التزامك الدائم الذي يسهّل عمل الجميع.
positive nudge,"التزامك يا name ليس مجرد عادة، إنه أسلوب حياة."
positive nudge,التزامك يا name بالمواعيد يعكس وعيك واحترافيتك العالية.
positive nudge,"يا name، كل مرة تحضر فيها في الموعد، تُثبت أنك قدوة في الالتزام."
positive nudge,"يا name، لأنك دائم الالتزام، نعدك بخدمة أفضل وتجربة مميزة دائمًا."
positive nudge,حضورك يا name الدائم يجعلنا نمنحك أفضلية الحجز قبل الجميع.
positive nudge,"استمرارك يا name معنا هو سر تميزنا، استمتع بمكافأتك الجديدة."
positive nudge,"يا name، تم منحك إمكانية إعادة جدولة المواعيد في أي وقت، تقديرًا لالتزامك."
positive nudge,"يا name، لأنك شخص ملتزم لدينا، يمكنك الحجز في أي وقت يناسبك."
positive nudge,"حضورك يا name المستمر يعني أنك من عملائنا الأهم، استمتع بمرونة الحجز الكاملة."
positive nudge,"شكراً يا name لأنك تلتزم دائمًا، تمت إضافة نقاط تميّز إضافية إلى رصيدك."
positive nudge,"نراك يا name دائمًا في الموعد، ولهذا نمنحك حق اختيار المواعيد قبل الجميع."
positive nudge,التزامك يا name يمنحك حرية كاملة في اختيار المواعيد بدون قيود.
positive nudge,التزامك يا name المستمر يجعل حسابك في أعلى مستوى من الامتيازات.
positive nudge,استمرارك يا name معنا يجعلنا نضعك دائمًا في مقدمة الأولويات.
positive nudge,"شكراً لك يا name، أنت من العملاء الذين نعتز بثقتهم والتزامهم."
re-engagement,"نذكّرك يا name بموعدك القادم، حضورك هذه المرة مهم جداً."
re-engagement,"يا name، نثق أنك ستعود للالتزام اليوم، نراك في الموعد."
re-engagement,"يا name، دعنا نبدأ صفحة جديدة، حضورك اليوم يعني الكثير."
re-engagement,"يا name، هذه فرصتك للعودة إلى الالتزام، لا تفوتها."
re-engagement,"نعلم يا name أن الظروف قد تمنع أحيانًا، لكن حضورك اليوم يصنع فرقًا."
re-engagement,حضورك يا name في هذا الموعد سيساعدك في تنظيم مواعيدك المستقبلية.
re-engagement,"يا name، تذكير ودي، نأمل أن نراك في الوقت المحدد هذه المرة."
re-engagement,حضورك يا name اليوم يعكس حرصك على تحسين التزامك.
re-engagement,"يا name، لا تقلق بشأن الماضي، الأهم هو أن تحضر اليوم."
re-engagement,"يا name، هذه فرصة لإثبات التزامك من جديد، نثق بك."
re-engagement,حضورك يا name اليوم يعيد ترتيب جدولك للأفضل.
re-engagement,"يا name، نأمل أن تكون هذه المرة بداية جديدة أكثر التزامًا."
re-engagement,"يا name، نقدر عودتك، ونأمل أن تستمر على هذا النهج."
re-engagement,"يا name، كل تأخير سابق يمكن تعويضه بالحضور اليوم."
re-engagement,"يا name، هذه المرة فرصتك لتغيير الانطباع السابق، نراك قريبًا."
re-engagement,حضورك يا name في الموعد اليوم يثبت جديتك في الالتزام.
re-engagement,التزامك يا name اليوم خطوة أولى نحو انتظام دائم.
re-engagement,حضورك يا name في الموعد يعني تقديرك لوقتك ووقتنا.
re-engagement,"نعلم يا name أنك تستطيع الالتزام هذه المرة، ننتظرك بثقة."
re-engagement,"يا name، كل حضور جديد هو بداية جديدة، نراك قريبًا بإذن الله."
re-engagement,حضورك يا name اليوم يُعيدك إلى فئة العملاء الموثوقين.
re-engagement,"يا name، الالتزام في الموعد القادم يعيد لك صلاحية الحجز في الأوقات المفضلة."
re-engagement,"يا name، بادر بالحضور في الموعد القادم لتستعيد ميزة الحجز المبكر تلقائيًا."
re-engagement,"يا name، كل حضور ناجح يلغي أي غياب سابق في صلاحية الحجز."
re-engagement,"نعلم يا name أنك حريص، والمواعيد المطلوبه تنتظرك بمجرد عودتك للالتزام."
re-engagement,التزامك يا name في الموعد القادم يعيد تفعيل الحجز المبكر والمواعيد المفضلة.
re-engagement,"يا name، بعض المواعيد أصبحت محجوزة، لكن حضورك القادم يعيد فتحها لحسابك."
re-engagement,"يا name، نثق أنك ستعود، ومع عودتك ستعود جميع امتيازاتك."
re-engagement,حضورك يا name القادم يرفع ترتيبك في النظام ويعيد لك الحجز في الأوقات الأفضل.
re-engagement,"يا name، غيابك السابق جعل بعض المواعيد محدودة مؤقتًا، لكن حضورك يعيدها."
